claim,evidence,label
"U.S. Bureau of Labor Statistics statistics show, “We have 1.6 million illegal aliens that have gone home voluntarily.”","One immigration research group estimated the population of immigrants in the U.S. illegally had decreased by 1.6 million in 2025, but there are caveats to the estimate. | It relied on a government survey with a small sample size and large margin of error. It also includes immigrants who were deported, died, left voluntarily and those whose status changed such as by getting asylum. | Other groups that estimate immigrant populations said the survey’s data seems to point to a decrease in the immigrant population, but it is too soon to know by how much.",supports
President Donald Trump’s “official schedule was suddenly suspended.”,"President Donald Trump’s schedule has remained public without interruption. | Trump had multiple meetings and public appearances from Aug. 25 to Sept. 2, according to the White House’s daily schedule and media reports. | His Labor Day weekend activity was subdued, but his schedule detailed his movements to and from the White House and his Washington, D.C.-area golf course. News photographs chronicled him coming and going from the White House.",refutes
The U.S. Census included a citizenship question “for over 150 years” before the Obama administration.,"The U.S. Census Bureau has long asked people about their citizenship status, including under former President Barack Obama. | The last time the decennial census came close to asking every household about citizenship status was in 1950, when it was a follow-up question for foreign-born respondents. Subsequent censuses asked the question only for a sample of households. | In 2010, when Obama was president, the Census Bureau changed the way it asked about citizenship, but plans for the change began years earlier. The question is still sent each year to approximately 3.5 million households through the bureau’s American Community Survey.",refutes
A Vanity Fair cover featured first lady Melania Trump as “The American Queen.”,The cover of the September issue of Vanity Fair features actress Jennifer Aniston. | Semafor reported the new Vanity Fair editor had floated the idea to staff of putting first lady Melania Trump on the magazine’s cover. | Programs that detect AI-generated images concluded the image likely contained AI-generated or deepfake content.,refutes
"Following the passage of a 2022 gun safety law, mass shootings “began to drop.”","Then-President Joe Biden signed the Bipartisan Safer Communities Act into law in June 2022. The law, aimed at reducing gun violence, gave states money to implement ""red flag"" laws and mental health services. | The Gun Violence Archive, a data collection group, counted 642 mass shootings in 2022, 660 mass shootings in 2023 and 503 in 2024. Other groups using different definitions of mass shootings found lower numbers. | Gun violence experts said it is challenging to prove the legislation’s effect on mass shootings.",supports
"In Washington, D.C., “We always have a murder a week.”","As of the afternoon of Aug. 25, the last homicide recorded in Washington, D.C., happened Aug. 13. | It’s not unheard of for the city to have a homicide-free week. The city had a stretch of more than two weeks in February and March with no homicides. | Experts who study crime trends look at longer periods, such as a few years, to establish crime trends.",refutes
"""If you go back to World War II, if you go back to World War I, if you go back to every major conflict in human history, they all end with some kind of negotiation.""","In World War II, both Germany and Japan surrendered unconditionally. | As the World War I armistice was being negotiated, Germany won small concessions, but the allies generally imposed their will, an approach that strengthened with the Treaty of Versailles. | Other unconditional surrenders include the Third Punic War, in which Rome conquered Carthage.",refutes
An Aug. 23 video shows “the military’s already showing up in Chicago” before a potential National Guard deployment.,"The TikTok user who originally posted the video later said in another post she had lied about the military being in Chicago in the context of a federal deployment order. | An Illinois National Guard spokesperson told PolitiFact the military vehicles seen in the video could have been on their way to be showcased at events, to get maintenance or to be moved to another facility in Chicago.",refutes
“We had the biggest tax cut for families that this country has ever seen.”,"When factoring in that President Donald Trump’s One Big Beautiful Bill extends 2017 tax cuts that otherwise would have expired — which tax experts say is a plausible way of characterizing it — then the tax savings from Trump’s 2025 law rank third on the list of biggest tax cut laws since 1980. | The bottom-line impact on Americans’ tax liabilities beginning in 2026 may not be dramatic because people are already paying the lower tax rates that the 2025 law saved from expiration. The 2025 law adds some new tax breaks, such as for income from tips and overtime and for Americans 65 and older.",uncertain
"TikTok videos show police clearing out homeless encampments in Washington, D.C.","Artificial intelligence generated TikTok videos that appear to show police in Washington, D.C., clearing out homeless encampments. | The videos included watermarks from AI-generators and visual inconsistencies such as disappearing people. | Law enforcement officers in Washington, D.C., have been clearing out homeless encampments in the district following President Donald Trump’s takeover.",refutes
“Democrats have voted for national independent redistricting. Republicans have not.”,"In 2021, all U.S. House Republicans except two who were absent voted against H.R. 1, called the ""For the People Act."" One part would have required states to establish independent redistricting commissions, nonlegislative bodies that would draw political district lines. All House Democrats but one voted for it. | The 884-page voting and elections bill was expansive, and Republicans voiced concerns about other provisions. | In at least four states, Republican lawmakers have supported independent redistricting commissions. ​",supports
"The Smithsonian Institution includes “nothing about success, nothing about brightness, nothing about the future.”","Through its 21 museums, 21 libraries, 14 education and research centers and a zoo, the Smithsonian Institution’s collections are expansive and cover every aspect of U.S. history, including more than 200 years of slavery. | One of the Smithsonian’s museums, the National Museum of African American History and Culture, spends much of its focus on Black Americans’ achievements. | The National Museum of American History features key artifacts from history, the military and pop culture. The National Air and Space Museum is a monument to American technological ingenuity and global — and interplanetary — achievements.",refutes
"With voting machines, ""They say we're going to have the results in two weeks. With paper ballots, you have the results that night.""","Machines that tabulate votes are faster and more accurate ballot-counters than humans, according to studies and past election experience. | Eliminating vote-counting machines and relying solely on humans to count paper ballots would, in most cases, lengthen the vote-counting time and require more personnel and money. | Large jurisdictions would be particularly affected because they handle larger numbers of ballots, often with numerous races.",refutes
“We are now the only country in the world that uses mail-in voting.”,"A report from a Swedish organization that advocates for democracy globally found that 34 countries or territories allow mail-in voting. | Voting by mail does not look the same in each country. For example, U.S. election officials track ballots throughout the voting process to reduce fraud. Many countries don't track ballots. | President Donald Trump said he wants to eliminate U.S. voting by mail. If he does so, he almost certainly will face legal challenges because state laws set rules for voting by mail.",refutes
"La presidenta de México, Claudia Sheinbaum, dijo que la muerte del político colombiano Miguel Uribe Turbay, “Es bueno para Colombia, un político menos de que preocuparse”.","El video en redes sociales de la presidenta de México Claudia Sheinbaum diciendo que la muerte de Miguel Uribe Turbay, es ""bueno para Colombia"" fue manipulado. | Expertos en inteligencia artificial nos dijeron que la voz de Sheinbaum fue generada con IA y se nota en el video como sus labios no concuerdan con sus palabras. | PolitiFact encontró el video original de Sheinbaum y es de una conferencia de prensa del 4 de agosto, días antes del fallecimiento del político colombiano.",refutes
“The (Evers) Era locked Wisconsin families into a 400‑year property tax increase.”,"Property taxes went up last year, partly because of the $325 per pupil increases in funding for schools. | That trend is likely to continue in 2025, especially as school districts face the pressures of inflation. | General school aid can offset the need for property tax increases, but more of that funding wasn’t included in the new budget. | It’s likely the law will change sometime within the next 400 years with new political dynamics.",supports
"Washington, D.C., has 41 homicides per 100,000 people, “No. 1 that we can find anywhere in the world.”","The chart President Donald Trump displayed during an Aug. 11 news conference included 2023 data for Washington, D.C. homicides. Since then, the district’s homicide rate has fallen considerably. | The rate was not the worst in the world — then or now. ​",refutes
“Promises kept: negative net migration (in the U.S.) for the first time in 50 years!”,"At least five financial groups or think tanks have published 2025 projections about ""net migration"" — how the number of people immigrating to the U.S. compares with the number moving out of the country. | One group predicted negative net migration to the U.S. this year, meaning more people will leave the U.S. than immigrate to it. | The four other groups estimated that although net migration will be lower in 2025 than it has been in the past, it will not be negative.",uncertain
The official U.S. government website erased sections of the U.S. Constitution without amending it.,"On Aug. 6, the Library of Congress’ annotated website of the U.S. Constitution was missing sections of Article 1 including provisions about habeas corpus and the limits and powers of Congress and U.S. states. | The Library of Congress said the missing text happened because of a ""coding error"" and restored it later that day. | Omitting constitutional provisions on a website does not mean they were removed or erased from the Constitution. The document can be changed only through a formal amendment process in Congress, which can modify or replace existing provisions.",refutes
"Osos pardos, bisontes y pumas están huyendo del Parque Nacional de Yellowstone hacia Salt Lake City, Utah.","Una portavoz del Parque Nacional de Yellowstone le dijo a PolitiFact que la vida silvestre no está abandonando el parque en grandes cantidades. | PolitiFact encontró que las imágenes de animales supuestamente huyendo del parque son de otros eventos o fueron sacadas de contexto. | Otras publicaciones en TikTok sugirieron que los animales podrían estar huyendo debido a una posible erupción del supervolcán de Yellowstone, pero el sitio web del Servicio Geológico de EE.UU. dice que las condiciones están normales en el volcán de Yellowstone.",refutes
“Democrats have 24 more seats (in Congress) than they would have if illegal aliens were not counted in the census.”,"Right-leaning advocacy groups say Democrats benefit from people in the U.S. illegally, but not to the degree Blust said. | Studies by other research groups show that such immigrants have a small impact on congressional apportionment, but that both parties would be affected. | Blust said he couldn’t remember where he saw the statistic he cited.",refutes
"Elk, grizzly bears, bison and mountain lions are fleeing Yellowstone National Park to Salt Lake City, Utah.","A Yellowstone National Park spokesperson told PolitiFact that wildlife is not leaving Yellowstone National Park in large numbers, as TikTok users claimed. | PolitiFact found that the footage of animals supposedly fleeing the park was from other situations or taken out of context. | Other TikTok posts suggested that animals could be fleeing because of a possible Yellowstone supervolcano eruption, but the U.S. Geological Survey website says conditions are normal at the Yellowstone volcano.",refutes
Texas Republicans held one hearing on flood response but eight hearings on redistricting,"Joint Texas House and Senate committees held three hearings about the July 4 floods that killed at least 135 people. Two were in late July and one was the same day as Democratic National Committee Chairman Ken Martin’s comments. | The state House and Senate held eight hearings on redistricting between July 24 and Aug. 1. | As of Aug. 6, Texas lawmakers were meeting in a special session that included legislation related to the flooding and redistricting. Democrats fled the state to avoid giving Republicans a quorum.",supports
"Bureau of Labor Statistics employment numbers “were rigged” when the agency revised them “down by almost 900,000 jobs” after the 2024 election.","The Bureau of Labor Statistics announced an 818,000-job downward revision as part of a standard, annual review process in 2024. | The agency didn’t keep this secret until after the November election. It released the data on Aug. 21, 2024 — on the eve of Kamala Harris’ nomination at the Democratic National Convention, and long before any American had cast a ballot. | Trump complained about the revision the day it was released.",refutes
“I’ve stopped six wars” since taking office in January 2025.,"President Donald Trump and his supporters have coined a new nickname for him: the ""peacemaker-in-chief."" The White Houserecently toutedseveral peace deals and ceasefires, some temporary, as feathers in Trump’s cap. The administration says the president cooled hostilities by leveraging both the U.S. military and economic pressure. His supportersarguehis actions are worthy of the Nobel Peace Prize, something Trump has sought for years.""I’ve stopped six wars — I’m averaging about a war a month,""Trump said July 28in Turnberry, Scotland. He has",uncertain
"President Donald Trump “made 4,725 wire transfers” to Jeffrey Epstein, totaling nearly $1.1 billion.","Sen. Ron Wyden, D-Ore., said during July 17 Senate floor remarks that a Treasury Department file shows 4,725 wire transfers ""flowing in and out of just one of Mr. Epstein’s bank accounts."" | Some social media posts misleadingly shared a clip of Wyden’s comments along with the claim that those wire transfers were between Jeffrey Epstein and President Donald Trump. That’s not what Wyden said. | Wyden was referring to a Senate Finance Committee’s findings from a partial review of the Treasury Department’s Epstein documents.",refutes
"“Home Depot signed a deal that pays them $250 million with DHS, allowing ICE agents to stake out their parking lots and arrest immigrants.”","A Home Depot spokesperson told PolitiFact the company doesn’t have a contract with the U.S. Department of Homeland Security. | The home improvement retailer isn’t notified when immigration raids will happen, a company spokesperson said. | DHS also said in a statement that the claim is inaccurate; it doesn’t notify businesses of ""targeted enforcement operations.""",refutes
“Guns are the leading cause of death for children in North Carolina.”,"A state-appointed task force tracks child fatalities in North Carolina. | The group released a February report on data from 2023, the most recent available. | Although there are multiple ways to parse the data, the group’s report mostly supports Stein’s claim.",supports
“Nearly 25 cents of every $1 spent via SNAP goes to farmers and ranchers.”,"The Supplemental Nutrition Assistance Program, or SNAP, provides low-income people with aid to buy certain foods at authorized retailers. | According to the U.S. Department of Agriculture’s Economic Research Service, farms made 24.3 cents for every dollar spent on food at home in 2023. | SNAP dollars are restricted to food only and largely can’t be spent at restaurants. Food purchasing habits of SNAP and non-SNAP buyers are similar, research shows. | Assuming, then, that a SNAP recipient is an average consumer, the statistic from the Economic Research Service applies, making Hong’s claim accurate.",supports
"Oprah Winfrey refused to open her private Maui road during July 29, 2025, tsunami warnings.",Oprah Winfrey’s spokesperson said the road on Winfrey’s property is owned by Haleakalā Ranch. Winfrey has an easement agreement with the ranch. | The spokesperson said opening the road is the landowner’s responsibility and that road opened as soon as the landowner and Winfrey’s staff learned about July 29 Hawaii tsunami warnings. | The Maui Police Department also reported July 29 that the road was open to evacuees.,refutes
“We gave $60 million two weeks ago” for food aid to Gaza.,"President Donald Trump did not specify which group or agency $60 million was sent to in Gaza. The White House and the U.S. State Department did not respond to requests for more information. | The State Department approved a $30 million grant in late June to a U.S.- and Israeli-backed Gaza aid initiative. Department officials told reporters that as of July 26, the funds had not been disbursed.",supports
Suspect in July 28 New York City shooting “was shouting Free Palestine and wearing a Keffiyeh.”,"Police said Shane Devon Tamura, 27, opened fire inside a Midtown Manhattan skyscraper July 28, killing four people and injuring one, before taking his own life. | No publicly available photo or video evidence shows Tamura wore a keffiyeh and shouted ""free Palestine"" at the scene. A photo shows Tamura walking into the building with his head uncovered. | We also found no police or news reports claiming he shouted ""free Palestine"" during the shooting.",refutes
“There is no starvation in Gaza.”,"The United Nations’ World Food Program said July 27 that one-third of Palestinians in Gaza are not eating for days-long stretches. | The World Health Organization reported 63 malnutrition-related deaths in July, including 24 children under 5 years old, one child over 5, and 38 adults. | Images of and news reports about Gaza show the severe hunger crisis, including people clamoring for food, visibly malnourished children and adults and doctors, nurses and journalists who are unable to meet their families’ nutritional needs.",refutes
Democrats paid Beyoncé $11 million for an endorsement.,"Federal Election Commission disclosures show that on Nov. 19, 2024, then-Vice President Kamala Harris’ 2024 presidential campaign paid Beyoncé’s production company $165,000 for ""campaign event production."" There are no other Harris campaign payments to Beyoncé, her production company and her publicist. | Beyoncé endorsed Harris’ campaign during an Oct. 25, 2024, event in Houston. | Beyoncé’s publicist told PolitiFact a similar claim in 2024 was ""beyond ridiculous.""",refutes
The Jeffrey Epstein plea agreement “was a sweetheart plea deal that was made under the Obama administration.”,"Jeffrey Epstein reached a plea deal with federal prosecutors in 2007 when George W. Bush was president and Alex Acosta was the U.S. attorney for the Southern District of Florida. The agreement was reached months before Epstein pleaded guilty in 2008. | Epstein agreed to plead guilty to state prostitution charges, register as a sex offender, serve 18 months in county jail and pay monetary damages to his victims. In exchange, the U.S. attorney’s office agreed to forgo federal prosecution. Prosecutors agreed to seal the agreement. | A judge ordered the agreement unsealed in 2009.",refutes
"Images show “Egyptian youth who put some food, baby formula, rice, and flour in bottles and threw them into the sea, hoping it would reach Gaza.”",Viral images claiming to show an effort by Egyptians to deliver food to Gaza were AI-generated.,refutes
"“Since Donald Trump's inauguration, we have seen an 11% decline in the value of the dollar, the steepest decline in more than a half a century.”","Financial research firm Morningstar says the standard metric for measuring the dollar’s strength against other currencies dropped by 11% in the first half of 2025, the biggest decline for a first half of the year since 1973. | Donald Trump was president for most of that six-month period, but not all of it. | Economists said this drop is unusual — in times of economic strain or uncertainty in recent decades, the dollar has usually strengthened — and some attribute the decline to the uncertainty surrounding Trump’s aggressive tariff policy and his threats to fire Federal Reserve Chairman Jerome Powell.",supports
"“America had a trade surplus in ice cream in 2020 under President Trump's leadership, but that surplus turned into a trade deficit of $40.6 million under President Biden's watch.”","The U.S. ice cream trade surplus largely diminished in 2021 under former President Joe Biden and turned to a deficit in 2022. | The change was driven mostly by a jump in imports, primarily from Italy. Exports have remained largely unchanged since 2020. | In general, the U.S. produces far more ice cream than it imports or exports. In 2024, U.S. traditional dairy-based ice cream imports equaled less than 1% of domestic production and exports equaled slightly more than 1%.",supports
"Florida: #51 in mental health care, #1 in home insurance costs, #1 in elder fraud, #1 in rent hikes.","PolitiFact found three reports that showed Florida last or second-to-last nationally on mental health care — one from 2025 and two based on data that is at least a decade old. Other rankings put it in a slightly better light. | Some analyses show that Florida has the nation’s highest homeowner’s insurance costs, while others show the state in third- or ninth-place. Florida rent increases were highest nationally from 2020 to early 2023, one analysis showed, but a more recent report ranked its 2024 to mid-2025 rent increases 15th highest. | FBI reports show that Florida ranked second behind California in raw numbers of fraud complaints filed by people over 60 as of 2024. Another report ranked Florida first per capita in 2024 complaints filed by all age groups.",supports
Tariffs are “going to pay off our deficit.”,Two projections show that the Trump administration tariff revenues would not cover the next 10 years of projected deficits.,refutes
"In 2016, after Donald Trump won the presidency, then-President Barack Obama was “trying to lead a coup” with Trump’s opponent, Hillary Clinton.",Director of National Intelligence Tulsi Gabbard provided documents to the Justice Department seeking a criminal investigation into Obama officials stemming from their assessment of Russia’s involvement in the 2016 election. | A coup would have involved efforts to keep Donald Trump from taking office in 2016. Former President Barack Obama did not do that. | Multiple investigations found that Russia interfered with the 2016 election but did not manipulate voting results.,refutes
“The White House just announced that Trump only has four days left” because of his chronic venous insufficiency.,"On July 17, the White House announced Trump has a chronic venous insufficiency, which can cause leg swelling. | Experts say the condition is common in older patients and not typically life-threatening, so there’s no reason to think someone with this diagnosis alone has only days left to live. | In announcing Trump’s condition, White House Press Secretary Karoline Leavitt said, ""The president remains in excellent health.""",refutes
"Under President Donald Trump’s newly signed tax law, “Those making less than $50,000 receive the largest (tax) cuts.”","Labor Secretary Lori Chavez-DeRemer cited data from a credible source, but it is cherry-picked and reflects only the law’s new policies. | The data ignores some of the law’s policy extensions that benefit the wealthy and omits that many of the benefits for lower- and middle-income families will sunset after 2028. | The data exaggerates the tax gains for households with modest incomes by focusing on the change in their tax liability, rather than their after-tax income — the measure analysts more commonly use.",uncertain
“California provides $83.1 billion more than we receive from the federal government. Texas? Receives $71.1 billion more than they provide to the federal government. 71% of the U.S. GDP comes from blue counties.”,"California tends to pay more in individual and corporate federal taxes than Texas does, because of its larger population and higher incomes. | Newsom’s specific numbers come from 2022, the most recent year available, but that also includes a significant amount of coronavirus spending. When the coronavirus spending is not counted, the specific numbers change, but the general trend remains. | On the share of national GDP from blue counties, Newsom’s data is out of date. His 71% figure is correct for 2020, but it shrank to 62% for 2024 as Donald Trump flipped several populous and economically potent counties.",supports
The Jeffrey Epstein files “were made up by Comey. They were made up by Obama. They were made up by Biden.”,"The ""Epstein files,"" refer to the federal government’s investigative files pertaining to the prosecution of deceased sex offender Jeffrey Epstein. | The two federal investigations into Epstein took place in 2006-08 and 2019, during the George W. Bush and Trump administrations. | Former FBI Director James Comey was working in the private sector during those periods. The FBI and U.S. Attorney’s Office in the Southern District of Florida conducted the 2006 federal investigation. In 2019, the Southern District of New York office filed federal charges.",refutes
"El sheriff del condado Kerr, Texas dijo, “que se debe solicitar la residencia permanente para el equipo de rescate mexicano que rescató a su familia”.","No hay informes de noticias que digan que el sheriff del condado Kerr, Larry Leitha, dijo que se debe solicitar la residencia permanente para un equipo mexicano que rescató a su familia durante las inundaciones del 4 de julio en Texas. | PolitiFact no encontró que Leitha dijera eso cuando vimos varias conferencias de prensa sobre los esfuerzos de recuperación de las inundaciones en el condado Kerr, Texas.",refutes
"""People tracking the ICE deportation flights have found” the agency is throwing migrants into the middle of the ocean.",There is no evidence that Immigration and Customs Enforcement dropped off immigrants in the middle of the ocean. | An immigration activist who has tracked ICE flights for over five years said the claim is baseless.,refutes
"The Kerr County, Texas, sheriff “said he would apply for a green card for the Mexican rescue team that saved his family.”","There are no news reports that say Kerr County Sheriff Larry Leitha said that he is applying for green cards for a Mexican rescue team that saved his family during the July 4 Texas floods. | PolitiFact found no instances where he said that when we watched multiple press conferences about flooding recovery in Kerr County, Texas.",refutes
There is “zero impact” from Alligator Alcatraz on the Florida Everglades.,"Florida Gov. Ron DeSantis provided no materials explaining how he concluded Alligator Alcatraz has ""zero impact."" Environmental groups filed a lawsuit for failing to conduct an environmental assessment. | Environmentalists, environmental lawyers and Florida professors cite increased human activity in the region as an environmental stressor. Potential effects include increased light and air pollution, habitat degradation for endangered species such as the Florida panther, and waste spills. | The concrete airstrip serving as the detention facility’s base was abandoned after an environmental report concluded that turning the area into a massive jetport would ""inexorably destroy the south Florida ecosystem and thus the Everglades National Park.""",refutes
"A Congressional Budget Office estimate of people who stand to lose insurance from President Donald Trump’s tax and spending law said “about 5 million … have other insurance,” so “if they lose one (type of coverage), they're still insured.”","The nonpartisan Congressional Budget Office projects that 2.9 million people who stand to lose Medicaid from President Donald Trump’s tax and spending law are already covered by Medicare or by Medicaid in another state. | Another 1.6 million would have access to other types of coverage but have not signed up for it, according to CBO’s numbers. | This group of 1.6 million would not ""have other insurance"" at the time they lose Medicaid. They would have to locate new insurance, and be able to pay for it, neither of which is guaranteed.",uncertain
"“ICE will now become the country’s largest federal law enforcement agency, bigger than the FBI, bigger than the DEA.”","President Donald Trump’s signature law includes about $75 billion for ICE over four years, including $45 billion for new immigration detention beds and $30 billion to hire 10,000 ICE employees, upgrade facilities and more. | ICE becomes the highest-funded federal law enforcement agency under Trump’s law compared with the FBI and DEA’s existing budgets. But base budgets for all three agencies could change. | ICE still trails the FBI in terms of overall staffing, but ICE’s number of staff with arrest authority could surpass the FBI in coming years, depending on the breakdown of its new 10,000 hires.",supports
Former Gov. Roy Cooper is scheduled to speak at a Winston-Salem coffee shop July 18 at 11 a.m. about the “future of North Carolina.”,"North Carolina Gov. Roy Cooper is considering a run for U.S. Senate, and a social media post announcing that the Democrat would speak about ""the future of North Carolina"" at a Winston-Salem event generated buzz. But there’s no sign it was real. ""Former North Carolina governor and potential Senate candidate teases ‘Coffee with Roy Cooper’ event on July 18,"" the X account ""Politics & Poll Tracker"" posted July 8. The account has more than 16,000 followers. The post, which has",refutes
"China doesn’t “have a lot of wind farms. … Very, very few.”","China has about 44% of the world’s wind farm capacity, ranking No. 1 globally and almost tripling what the U.S. has. | China is also planning or building more wind farm capacity than any other country.",refutes
Almost 5 million able-bodied Medicaid recipients “simply choose not to work” and “spend six hours a day socializing and watching television.”,"A Congressional Budget Office analysis said 4.8 million people who would lose health insurance by 2034 under the Trump-backed bill would be able-bodied adults between 19 and 64 who have no dependents and work less than 80 hours a month. The 10-year projection doesn’t say these people ""choose not to work."" | Among able-bodied Medicaid recipients who did not work, research found that very few cited a lack of interest in working as the reason. | Able-bodied Medicaid recipients are mostly women and people with high school education or less, research showed.",refutes
The Trump administration “has defunded not only the National Weather Service but also what’s known as NOAA.”,"There were about 600 employee cuts at the National Weather Service — about 100 probationary employees and 500 buyouts. | The Trump administration’s proposed 2026 budget would increase the National Weather Service budget by nearly 6.7%. | The same budget proposal cuts other areas of the National Oceanic and Atmospheric Administration, including research that assists forecasters.",uncertain
"President Donald Trump’s tax law has “tax breaks for billionaires, permanent; tax breaks for everybody else, expire.”","Some of the law’s provisions benefitting taxpayers of ordinary means — including tax cuts for tipped and overtime income — are set to expire in 2028. | Multimillionaires will benefit from a permanent increase in the size of estates protected from the estate tax. And wealthier Americans gain disproportionately from the bill’s provisions. | But several of the bill’s other key elements are permanent and affect people of all income levels, including its extension of the 2017 tax cuts.",supports
The Rainmaker Technology Corp.’s cloud seeding caused the July 4 flooding in Texas.,"The remnants of Tropical Storm Barry dropping intense rain on a flood-prone region caused the deadly flood in Texas, meteorologists said. | Cloud seeding, the process of introducing particles into a cloud to increase precipitation, could not have caused the disaster because the process increases precipitation only by a small amount, they said. | Rainmaker Technology Corp.’s last cloud seeding efforts were July 2 and the two clouds seeded dissipated between 3 p.m. and 4 p.m. Central Time that same day, more than 24 hours before the storm that caused deadly flooding.",refutes
“Si dios fuera ilegal lo deportariamos palabras del gobernador de Texas”.,"No hay reportes verídicos de que el gobernador de Texas Greg Abbott dijo que deportaría a Dios si estuviera ilegalmente en EE.UU. | El video en TikTok manipuló la voz del periodista de TelevisaUnivision, Enrique Acevedo, para presentar la noticia engañosa.",refutes
“Donald Trump acaba de firmar una nueva orden que pone al país en alerta máxima y sella las fronteras para todos los residentes” el 1 de julio.,"El presidente Donald Trump no firmó una orden ejecutiva que cierre las fronteras de EE.UU. indefinidamente a partir del 1 de julio. | Un experto en leyes de inmigración le dijo a PolitiFact que aunque el presidente tiene autoridad para cerrar las fronteras, debe ser en situaciones de emergencia o circunstancias exigentes.",refutes
"Una nueva ley permite aplicar a “la residencia permanente de forma directa, rápida y sin salir del país” si los migrantes han vivido al menos siete años en EE.UU.",La ley descrita en el video en TikTok no existe. | Las vías para obtener la residencia permanente legal se aplican principalmente a personas que cumplen criterios específicos y han estado legalmente en EE.UU.,refutes
President Donald Trump signed an executive order for “a total border shutdown with no set reopening date” on July 1.,"President Donald Trump did not sign an executive order closing the U.S. border indefinitely starting July 1. | An immigration law expert told PolitiFact that although the president has authority to close the border, it has to be under emergencies or exigent circumstances.",refutes
