claim,label_multi,label_bin,speaker,date_parsed
"Elk, grizzly bears, bison and mountain lions are fleeing Yellowstone National Park to Salt Lake City, Utah.",refutes,0,TikTok posts,2025-08-07
Texas Republicans held one hearing on flood response but eight hearings on redistricting,supports,1,Ken Martin,2025-08-06
"Bureau of Labor Statistics employment numbers “were rigged” when the agency revised them “down by almost 900,000 jobs” after the 2024 election.",refutes,0,Donald Trump,2025-08-05
"President Donald Trump “made 4,725 wire transfers” to Jeffrey Epstein, totaling nearly $1.1 billion.",refutes,0,Social Media,2025-08-05
"“Home Depot signed a deal that pays them $250 million with DHS, allowing ICE agents to stake out their parking lots and arrest immigrants.”",refutes,0,Threads posts,2025-08-05
“Guns are the leading cause of death for children in North Carolina.”,supports,1,Josh Stein,2025-08-05
“Nearly 25 cents of every $1 spent via SNAP goes to farmers and ranchers.”,supports,1,Francesca Hong,2025-07-30
"Oprah Winfrey refused to open her private Maui road during July 29, 2025, tsunami warnings.",refutes,0,X posts,2025-07-30
“We gave $60 million two weeks ago” for food aid to Gaza.,supports,1,Donald Trump,2025-07-30
Suspect in July 28 New York City shooting “was shouting Free Palestine and wearing a Keffiyeh.”,refutes,0,X posts,2025-07-29
“There is no starvation in Gaza.”,refutes,0,Benjamin Netanyahu,2025-07-29
Democrats paid Beyoncé $11 million for an endorsement.,refutes,0,Donald Trump,2025-07-28
The Jeffrey Epstein plea agreement “was a sweetheart plea deal that was made under the Obama administration.”,refutes,0,Markwayne Mullin,2025-07-28
"Images show “Egyptian youth who put some food, baby formula, rice, and flour in bottles and threw them into the sea, hoping it would reach Gaza.”",refutes,0,Social Media,2025-07-28
"“Since Donald Trump's inauguration, we have seen an 11% decline in the value of the dollar, the steepest decline in more than a half a century.”",supports,1,Ritchie Torres,2025-07-25
"“America had a trade surplus in ice cream in 2020 under President Trump's leadership, but that surplus turned into a trade deficit of $40.6 million under President Biden's watch.”",supports,1,U.S. Trade Representative,2025-07-24
"Florida: #51 in mental health care, #1 in home insurance costs, #1 in elder fraud, #1 in rent hikes.",supports,1,Gavin Newsom,2025-07-23
Tariffs are “going to pay off our deficit.”,refutes,0,Howard Lutnick,2025-07-22
"In 2016, after Donald Trump won the presidency, then-President Barack Obama was “trying to lead a coup” with Trump’s opponent, Hillary Clinton.",refutes,0,Donald Trump,2025-07-22
“The White House just announced that Trump only has four days left” because of his chronic venous insufficiency.,refutes,0,TikTok posts,2025-07-21
“California provides $83.1 billion more than we receive from the federal government. Texas? Receives $71.1 billion more than they provide to the federal government. 71% of the U.S. GDP comes from blue counties.”,supports,1,Gavin Newsom,2025-07-18
The Jeffrey Epstein files “were made up by Comey. They were made up by Obama. They were made up by Biden.”,refutes,0,Donald Trump,2025-07-18
"El sheriff del condado Kerr, Texas dijo, “que se debe solicitar la residencia permanente para el equipo de rescate mexicano que rescató a su familia”.",refutes,0,TikTok posts,2025-07-16
"""People tracking the ICE deportation flights have found” the agency is throwing migrants into the middle of the ocean.",refutes,0,TikTok posts,2025-07-15
"The Kerr County, Texas, sheriff “said he would apply for a green card for the Mexican rescue team that saved his family.”",refutes,0,X posts,2025-07-14
There is “zero impact” from Alligator Alcatraz on the Florida Everglades.,refutes,0,Ron DeSantis,2025-07-11
"“ICE will now become the country’s largest federal law enforcement agency, bigger than the FBI, bigger than the DEA.”",supports,1,Jon Favreau,2025-07-11
Former Gov. Roy Cooper is scheduled to speak at a Winston-Salem coffee shop July 18 at 11 a.m. about the “future of North Carolina.”,refutes,0,X posts,2025-07-10
"China doesn’t “have a lot of wind farms. … Very, very few.”",refutes,0,Donald Trump,2025-07-10
Almost 5 million able-bodied Medicaid recipients “simply choose not to work” and “spend six hours a day socializing and watching television.”,refutes,0,Scott Jennings,2025-07-09
"President Donald Trump’s tax law has “tax breaks for billionaires, permanent; tax breaks for everybody else, expire.”",supports,1,Hakeem Jeffries,2025-07-08
The Rainmaker Technology Corp.’s cloud seeding caused the July 4 flooding in Texas.,refutes,0,Social Media,2025-07-07
“Si dios fuera ilegal lo deportariamos palabras del gobernador de Texas”.,refutes,0,TikTok posts,2025-07-07
“Donald Trump acaba de firmar una nueva orden que pone al país en alerta máxima y sella las fronteras para todos los residentes” el 1 de julio.,refutes,0,TikTok posts,2025-07-03
"Una nueva ley permite aplicar a “la residencia permanente de forma directa, rápida y sin salir del país” si los migrantes han vivido al menos siete años en EE.UU.",refutes,0,TikTok posts,2025-07-02
President Donald Trump signed an executive order for “a total border shutdown with no set reopening date” on July 1.,refutes,0,TikTok posts,2025-07-02
"A new “community recognition” law allows people to apply for “permanent residency directly, quickly, and without leaving the country” if they have “resided continuously in the United States for at least seven years, regardless of their current immigration status.”",refutes,0,TikTok posts,2025-07-01
Idaho shooting suspect Wess Roley faced criminal charges and had a no-contact order from his family.,refutes,0,X posts,2025-07-01
"“If every one of the 340 million people in America paid a new $35 copay to visit the doctor, that still wouldn’t be enough to cover how much Meta would get from just one tax break in Donald Trump's ‘Big Beautiful Bill.’""",supports,1,Elizabeth Warren,2025-06-27
"""Undocumented immigrants paid more taxes last year than Amazon, GM, IBM & Netflix combined.""",supports,1,Occupy Democrats,2025-06-27
"“A lot of times, health care comes with a job.”",supports,1,John Thune,2025-06-27
“The tow truck drivers in Los Angeles are quickly towing ICE vehicles improperly parked!”,refutes,0,Social Media,2025-06-26
New York City mayoral candidate Zohran Mamdani is a communist.,refutes,0,Donald Trump,2025-06-26
“BREAKING NEWS: Dolly Parton announces her refusal to celebrate Pride Month in June.”,refutes,0,Facebook posts,2025-06-25
"“The state of Illinois has a lower income tax rate than we do, and a flat tax. It’s almost half of what the top bracket here in Wisconsin is.”",supports,1,Josh Schoemann,2025-06-25
The Republican tax and spending bill will provide a “tax cut for Social Security recipients.”,supports,1,American Action Network,2025-06-24
Video shows protesters “outraged” over U.S. attacks in Iran.,refutes,0,X posts,2025-06-24
Video shows a woman wearing a rainbow hijab and a bomb vest who filmed her visit to Iran.,refutes,0,Social Media,2025-06-24
"Photo shows Israeli pilot Sarah Ahronot, who was captured by Iran.",refutes,0,X posts,2025-06-23
Video shows “massive fire after Iranian missile made impact in Tel Aviv” in June 2025.,refutes,0,X posts,2025-06-23
“Governor Tim Walz has DELETED every post he made praising Minnesota (assassin) Vance Boelter.”,refutes,0,Social Media,2025-06-18
Image shows accused shooter Vance Boelter wearing a “Resist” shirt.,refutes,0,X posts,2025-06-18
"Image shows an antifa debit card that can “automatically be funded after looting, rioting and gang stalking.”",refutes,0,X posts,2025-06-17
Video shows the New York Mets “showed a Pride flag instead of the American flag” during the national anthem.,refutes,0,X posts,2025-06-17
The suspect in the Minnesota lawmakers’ shootings was driven by “Marxist” ideology.,refutes,0,Mike Lee,2025-06-16
"California has lower homicide rates than Alabama, Arkansas and Oklahoma.",supports,1,Gavin Newsom,2025-06-16
Video shows Marine Corps attack helicopter over Los Angeles in response to immigration raid protests.,refutes,0,X posts,2025-06-16
Photos show Travis Kelce and Taylor Swift participated in a “No Kings” rally.,refutes,0,Facebook posts,2025-06-16
"Says Karoline Leavitt said, “America cannot function if President Trump has to deal with co-equal branches of government having the ability to check his power.”",refutes,0,X posts,2025-06-13
"Companies called “T-Mellon Events” and “Fight Fite Fight LLC” are offering to pay “seat fillers” in Washington, D.C, on June 14.",refutes,0,Social Media,2025-06-13
Immigration and Customs Enforcement agents raided Los Angeles' Gratts Learning Academy during a June graduation ceremony.,refutes,0,Instagram posts,2025-06-13
"Video shows woman exiting her car during the 2025 Los Angeles protests, shouting, “I have babies in the car!”",refutes,0,X posts,2025-06-12
Craigslist ad was “recruiting people for LA ‘protests.’”,refutes,0,TikTok posts,2025-06-12
Video shows Los Angeles protesters chanting “We are Los Angeles” in June 2025.,refutes,0,TikTok posts,2025-06-11
"If the “Big, Beautiful” tax and spending bill doesn’t pass, “there will be a 68% tax increase.”",refutes,0,Donald Trump,2025-06-10
California Gov. Gavin Newsom shared images taken in 2021 and said they showed National Guard troops sleeping on the floor in June 2025.,refutes,0,Social Media,2025-06-10
Video shows “Marines have arrived in Los Angeles” June 8 to respond to immigration protests.,refutes,0,X posts,2025-06-09
“BREAKING: Rep. Maxine Waters calls for the United States to grant citizenship to every undocumented protester in Los Angeles” 2025 protests.,refutes,0,Facebook posts,2025-06-09
Video shows a police car burning during June 2025 Los Angeles protests.,refutes,0,X posts,2025-06-09
Target “opts out of Pride month and replaced its Pride collection with an America First Summer display.”,refutes,0,X posts,2025-06-06
“President Trump has granted pardons that have wiped out over $1 billion in debts owed by wealthy Americans who have committed fraud and broken the law.”,supports,1,Liz Oyer,2025-06-06
The state budget contains the largest middle class tax cut in 70 years.,refutes,0,Kathy Hochul,2025-06-01
Image shows Ben & Jerry’s is selling “Free Palestine” and “From the River to Sea” ice cream flavors.,refutes,0,Viral image,2025-05-30
“Contractors are being rejected” from providing Hurricane Helene relief in North Carolina because of racial “quotas” required by the state.,refutes,0,Brenden Jones,2025-05-30
“We are not cutting” the Supplemental Nutrition Assistance Program.,refutes,0,Mike Johnson,2025-05-29
Harvard University “refuse(s) to tell us” who its international students are.,refutes,0,Donald Trump,2025-05-28
El gobernador de Florida Ron DeSantis firmó ley que prohíbe a inmigrantes ilegalmente en el país echar gasolina.,refutes,0,TikTok posts,2025-05-28
The Republican tax and spending bill will let President Donald Trump “delay or cancel elections — legally.”,refutes,0,Social Media,2025-05-28
“U.S. retail gasoline prices heading into Memorial Day weekend: 20 year low.”,supports,1,U.S. Energy Department,2025-05-28
"Rep. LaMonica McIver, D-N.J., started singing during a May 20 CNN interview.",refutes,0,X posts,2025-05-23
"The slaying of two Israeli embassy employees in Washington, D.C., is a false flag.",refutes,0,X posts,2025-05-23
"In the House bill, “we’re not changing Medicaid,” only cutting “waste, fraud and abuse.”",refutes,0,Donald Trump,2025-05-22
The Sean “Diddy” Combs trial testimony revealed that former President Barack Obama was “caught in secret meetings with Diddy’s drug runner.”,refutes,0,X posts,2025-05-22
"Video shows the Qatari emir saying, “I truly regret inviting Trump, the robber, to the Middle East.”",refutes,0,Social Media,2025-05-21
Que California ofrezca acceso asequible a cuidado de salud para los inmigrantes ilegalmente en EE.UU.,refutes,0,Gavin Newsom,2025-05-21
La presidenta de México Claudia Sheinbaum dijo que el choque del buque Cuauhtémoc contra el puente de Brooklyn en Nueva York no fue un accidente y puede ser un acto hostil.,refutes,0,TikTok posts,2025-05-21
President Donald Trump’s tax and spending bill “does not add to the deficit.”,refutes,0,Karoline Leavitt,2025-05-21
Former President Joe Biden’s cancer is a form of “turbo cancer” caused by mRNA vaccines.,refutes,0,X posts,2025-05-20
"It’s “all true” that the measles vaccine wanes quickly, was never fully safety tested and contains fetal debris.",refutes,0,Robert F. Kennedy Jr.,2025-05-16
"“Republicans just unveiled their ‘big, beautiful bill,’ which will take Medicaid & health insurance away from 13.7 million Americans.”",supports,1,Bernie Sanders,2025-05-16
On California offering affordable health care access for immigrants in the U.S. illegally.,refutes,0,Gavin Newsom,2025-05-16
"Declining cargo traffic at U.S. ports “means we lose less money. … When you say it's slowed down, that's a good thing.”",refutes,0,Donald Trump,2025-05-16
"Un vídeo muestra al presidente francés, Emmanuel Macron, al primer ministro del Reino Unido, Keir Starmer, y al canciller alemán, Friedrich Merz, con una bolsa de cocaína tras visitar al presidente ucraniano, Volodymyr Zelenskyy.",refutes,0,Alex Jones,2025-05-16
"The Immigration and Nationality Act “stripped Article III courts, that's the judicial branch, of jurisdiction over immigration cases.”",refutes,0,Stephen Miller,2025-05-15
"The Digital Equity Act is a handout ""based on race,” and “illegal.”",refutes,0,Donald Trump,2025-05-13
"A video shows French President Emmanuel Macron, United Kingdom Prime Minister Keir Starmer and German Chancellor Freidrich Merz with a bag of cocaine after visiting Ukrainian President Volodymyr Zelenskyy.",refutes,0,Alex Jones,2025-05-13
"“In 1996, Congress specifically authorized the executive branch to conduct non-judicial deportations NOT SUBJECT TO DUE PROCESS.”",refutes,0,Social Media,2025-05-12
"En los primeros 100 días del presidente Donald Trump, las incautaciones de fentanilo salvaron entre ""119 millones"" y ""258 millones"" de vidas.",refutes,0,Pam Bondi,2025-05-09
“China makes 80% of all toys” and “90% of all Christmas goods” sold in the U.S.,supports,1,Charles Blow,2025-05-09
"Headline said, “Pope Leo XIV was a founding member of the 2020 anarchist Portland Autonomous Zone known as CHAZ.”",refutes,0,X posts,2025-05-09
“We have now close to $10 trillion” in investments. “We’re talking about essentially two months.”,refutes,0,Donald Trump,2025-05-08
"“If people come into our country illegally, there’s a different standard” for due process.",refutes,0,Donald Trump,2025-05-08
"Video shows Canadian Prime Minister Mark Carney saying effective June 1, “all vehicles manufactured before 2000 will be gradually phased off Canadian roads due to safety and emissions standards.”",refutes,0,TikTok posts,2025-05-06
"The federal government’s Women, Peace and Security program is a “Biden initiative.”",refutes,0,Pete Hegseth,2025-05-06
DARPA is spraying the skies with chemicals that are in jet fuel.,refutes,0,Robert F. Kennedy Jr.,2025-05-05
"“It's estimated” that President Donald Trump’s tariffs will mean “American families would have to pay about $4,000 more a year.”",supports,1,Charles Schumer,2025-05-05
A video clip shows Michelle Obama describing herself as “a Black man.”,refutes,0,X posts,2025-05-02
"In President Donald Trump’s first 100 days, fentanyl seizures saved “119 million” to “258 million” lives.",refutes,0,Pam Bondi,2025-05-01
Kilmar Armando Abrego Garcia “had ‘MS-13’ on his knuckles tattooed. … He had ‘MS’ as clear as you can be. Not 'interpreted.’”,refutes,0,Donald Trump,2025-04-30
Trump “just denied North Carolina’s request for FEMA relief from Hurricane Helene.”,supports,1,Brian Tyler Cohen,2025-04-24
“We had a couple of states where gasoline was at $1.98 a gallon.”,refutes,0,Donald Trump,2025-04-24
“Gun violence is the leading killer of college-aged people in the U.S.”,supports,1,Moms Demand Action for Gun Sense In America,2025-04-22
"“If we don’t pass the tax bill by the end of the year, we will have the largest tax increase in American history.”",supports,1,Michael Lawler,2025-04-22
“The Simpsons” predicted Pope Francis’ 2025 death.,refutes,0,TikTok posts,2025-04-22
"Arizona Democrats “needed a lawsuit to force them to remove 50,000 noncitizens from voter rolls.”",refutes,0,X posts,2025-04-18
Former U.S. Rep. Liz Cheney wrote a viral letter to Democrats suggesting steps to take against the Trump administration.,refutes,0,Facebook posts,2025-04-18
"Cody Balmer, the person charged with setting fire to Pennsylvania governor’s residence, posted a photo that said “F--- Trump.”",refutes,0,X posts,2025-04-14
"U.S. Rep. Jasmine Crockett says “she ‘simply forgot' to inform Social Security that her grandmother died in 2012 … She’s been collecting $2,600 a month for 13 years.”",refutes,0,TikTok posts,2025-04-14
"Photos and videos show Washington, D.C., protests against White House adviser Elon Musk are “staged & paid — bussed in, scripted, clocked out.”",refutes,0,X posts,2025-04-11
"In 2024, “China made $1 trillion off trade with the United States.”",refutes,0,Donald Trump,2025-04-11
"“China cancela la venta de TikTok” y “a partir de finales de abril los usuarios estadounidenses tendrán que pagar una tarifa mensual obligatoria para seguir usando TikTok"".",refutes,0,TikTok posts,2025-04-11
"The 2020 election was “rigged” and Chris Krebs, former Cybersecurity and Infrastructure Security Agency director, “baselessly” dismissed “election malfeasance.”",refutes,0,Donald Trump,2025-04-10
The U.S. is “taking in almost $2 billion a day in tariffs.”,refutes,0,Donald Trump,2025-04-10
On enacting country-by-country tariffs April 9.,refutes,0,Donald Trump,2025-04-09
Men “have the lowest college attainment rate ever.”,supports,1,Ruben Gallego,2025-04-09
"Says Kevin Hassett, National Economic Council director, said on April 7, “Trump is considering a 90-day pause in tariffs for all countries except China.”",refutes,0,X posts,2025-04-08
Video shows South African news outlet reporting Ukraine President Volodymyr Zelenskyy “purchased a controlling stake” in a mine.,refutes,0,Viral image,2025-04-04
"Says Cleveland Clinic said, “Millions of COVID-vaxxed will die within ‘5 years.’”",refutes,0,Facebook posts,2025-04-04
“White hats to investigate Wisconsin Supreme Court election.”,refutes,0,Viral image,2025-04-04
"Photo shows “Pope Francis, shaking the hand of the priest of the Church of Satan.”",refutes,0,Facebook posts,2025-04-04
"Says Elon Musk wrote on X, “The DOGE team has discovered tens of millions of dollars spent on golf by a single government official.”",refutes,0,Viral image,2025-04-04
"“Caitlin Clark stuns the globe, rejects Elon Musk’s $15 million offer.”",refutes,0,Facebook posts,2025-04-04
Video of gray skies in northern Michigan is proof of weather modification.,refutes,0,Facebook posts,2025-04-04
“Trump ordena ataques militares en los túneles del Vaticano - Laboratorios de (adrenocromo) dirigidos por la CIA cerrados por las fuerzas especiales de EE.UU”.,refutes,0,Facebook posts,2025-04-04
Says U.S. Rep. Alexandria Ocasio-Cortez’s family “must have just overlooked” “cashing her dead grandmother’s Social Security checks for a decade and a half.”,refutes,0,Viral image,2025-04-04
Conservative activist Laura Loomer’s reporting proves “Alex Wong is the individual who added (journalist) Jeffrey Goldberg” to the Trump administration Signal group text about bombing Yemen.,refutes,0,Facebook posts,2025-04-04
Video shows “how Denmark reacted when Trump said he wanted to buy Greenland.”,refutes,0,Viral image,2025-04-04
"“Daughter of boxing legend, Muhammed Ali, Laila Ali, has lost her life while giving birth in a Canadian hospital.”",refutes,0,Facebook posts,2025-04-04
"Says President Donald Trump wrote on Truth Social, “I am ending dual citizenship under the Espionage Act and all these traitors will be ‘denaturalized and deported.’”",refutes,0,Viral image,2025-04-04
Photo shows a missing police officer in “extreme danger.”,refutes,0,Facebook posts,2025-04-04
“Egg prices came down 50%”,supports,1,Donald Trump,2025-04-04
"""The consumer confidence in this country has gone way down.""",supports,1,Cory Booker,2025-04-03
Images show damage from an “earthquake in Thailand.”,refutes,0,Facebook posts,2025-04-03
El presidente Donald Trump aprobó una nueva ley “que exige la implantación obligatoria de un chip en todos los extranjeros”.,refutes,0,TikTok posts,2025-04-03
"“Elon Musk called for a boycott of ‘The View,’ labeling it ‘a meeting place for ignorant women.’”",refutes,0,Facebook posts,2025-04-02
“Man gets plastic surgery and name change to date his ex-girlfriend after she obtains a restraining order.”,refutes,0,Viral image,2025-04-02
Kilmar Armando Abrego Garcia “was a convicted MS-13 gang member.”,refutes,0,JD Vance,2025-04-02
President Donald Trump “just suggested replacing pride month with veterans month in honor of those who served.”,refutes,0,Facebook posts,2025-04-02
Says U.S. Rep. Majorie Taylor Green wrote on X that she is “a product of incest.”,refutes,0,Viral image,2025-04-02
Screenshots show Speaker Mike Johnson messaging on Grindr.,refutes,0,TikTok posts,2025-04-01
Video shows “France and Denmark are sending troops to Greenland to prepare for (an) attack from Donald Trump.”,refutes,0,Facebook posts,2025-04-01
"On PBS, ""they now have drag queen storytime instead of good old ‘Sesame Street.’""",refutes,0,Marjorie Taylor Greene,2025-04-01
Elon Musk funded a Neuralink implant procedure for a 7-year-old girl “who was diagnosed with a rare neurological disorder.”,refutes,0,Facebook posts,2025-04-01
"If you update your iPhone to iOS 18.3, you are going to have Starlink automatically installed in your phone.",refutes,0,TikTok posts,2025-03-31
“Hillary Clinton was sending classified documents that were stamped TS or TSSCI.”,refutes,0,Markwayne Mullin,2025-03-28
Image shows a “person dressed up as Pikachu to resist police violence” in Turkey.,refutes,0,Social Media,2025-03-28
Videos show tornadoes hitting Seattle on March 26 and 27.,refutes,0,TikTok posts,2025-03-28
Phoenix’s increased wildfire risk is linked to Bill Gates’ “smart city” plans.,refutes,0,Facebook posts,2025-03-28
“Canada makes bold decision to shut down Tesla and the US auto industry.”,refutes,0,Facebook posts,2025-03-28
"“Elon Musk exposes hidden $20K roof grant. Congress approved it.""",refutes,0,Facebook posts,2025-03-28
"""Brad Schimel said that he wanted to be part of Donald Trump's support network.""",supports,1,Susan Crawford,2025-03-28
Video shows the Bitcoin whitepaper “was spotted at the White House.”,refutes,0,Facebook posts,2025-03-27
“El nuevo presidente ha aprobado el Programa Nacional de Alivio de Deuda 2025 para todos los hispanoamericanos”.,refutes,0,Facebook posts,2025-03-27
Imagen muestra a “uno de los manifestantes que participó en el vandalismo contra un concesionario de Tesla. La deportación a El Salvador fue consecuencia de sus acciones”.,refutes,0,Facebook posts,2025-03-27
People can get student debt “erased” by filing Family Educational Rights and Privacy Act complaints because the Department of Government Efficiency accessed federal student loan databases.,refutes,0,TikTok posts,2025-03-27
Elon Musk said “Tesla is finished” and needs “drastic changes immediately.”,refutes,0,Facebook posts,2025-03-26
"""Nobody was texting war plans"" in the Trump administration Signal group text about bombing Yemen.",refutes,0,Pete Hegseth,2025-03-26
“El presidente Donald Trump anunció una nueva ley que prohíbe a los inmigrantes hablar español en público en los Estados Unidos”.,refutes,0,TikTok posts,2025-03-25
“La medida audaz de Canadá: Tesla y la industria automotriz estadounidense cierran”.,refutes,0,Facebook posts,2025-03-25
Defense Secretary Pete Hegseth “removed Colin Powell’s name from a list of notable Americans buried at Arlington National Cemetery.”,refutes,0,X posts,2025-03-25
"“On Feb. 25, I voted yes on a budget resolution that protects Social Security, Medicare, and Medicaid while cutting some spending elsewhere.""",refutes,0,Nick LaLota,2025-03-25
Video shows “leaked audio” of Vice President JD Vance criticizing Elon Musk and saying “he's making us look bad.”,refutes,0,X posts,2025-03-24
El presidente Donald Trump “firma orden ejecutiva para obligar a los bancos a que les quiten un 10% de dinero” de sus ahorros a los inmigrantes.,refutes,0,Facebook posts,2025-03-21
"Netflix show “Adolescence” is based on Southport, England, knife attacker but the show “race swapped the actual killer from a black man/migrant to a white boy.”",refutes,0,Ian Miles Cheong,2025-03-21
“Nueva ley en EE.UU. impone cadena perpetua a inmigrantes que residen ilegalmente en el país”.,refutes,0,Facebook posts,2025-03-21
The federal Education Department has a “budget of about $280 billion a year. Less than 25% goes to educating our students.”,refutes,0,Harriet Hageman,2025-03-20
Files reveal that John F. Kennedy Jr. wrote a 1994 letter calling then-Sen. Joe Biden “a traitor” before Kennedy’s 1999 death.,refutes,0,Facebook posts,2025-03-20
Says Ukraine President Volodymyr Zelenskyy “engaged in election interference by campaigning” in Pennsylvania for former Democratic presidential nominee Kamala Harris.,refutes,0,Facebook posts,2025-03-20
“Social Security is the biggest Ponzi scheme of all time.”,refutes,0,Elon Musk,2025-03-19
"President Donald Trump wrote on Truth Social that, “After I’ve annexed Greenland and making it the 52nd State, I will annexe Alaska.”",refutes,0,Threads posts,2025-03-19
"“A lot of studies” show that getting measles ""boosts your immune system later in life against cancers, atopic diseases, cardiac disease.""",refutes,0,Robert F. Kennedy Jr.,2025-03-19
"A $600,000 federal grant went to study “menstrual cycles in transgender men.”",refutes,0,Brooke Rollins,2025-03-19
“Breaking news: The Trump administration just announced that Medicare will stop covering telehealth starting April 1. … We need to stand up to these Medicare cuts.”,supports,1,Ro Khanna,2025-03-18
"Former President Joe Biden’s pardons of lawmakers on the committee investigating the Jan. 6, 2021, U.S. Capitol attack “are hereby declared void, vacant, and of no further force or effect,” because “they were done by autopen.”",refutes,0,Donald Trump,2025-03-17
"DOGE found former first lady Michelle Obama “has been receiving a monthly $122,000 payment from the (General Services Administration) since 2009.”",refutes,0,Facebook posts,2025-03-17
Elon Musk “launches a public campaign to terminate ‘The View.’”,refutes,0,Facebook posts,2025-03-17
Deceased InfoWars reporter Jamie White was on a “Ukrainian enemies hit list.”,refutes,0,Alex Jones,2025-03-14
The Department of Government Efficiency “found a $6 million grant awarded to Whoopi Goldberg to ‘promote diversity on The View.’”,refutes,0,Facebook posts,2025-03-14
Video shows “Stacey Abrams admits the $2 billion Joe Biden’s EPA gave her was used to buy votes of people in Georgia by purchasing them new appliances.”,refutes,0,Facebook posts,2025-03-14
“Tariffs are a tax cut for the American people.”,refutes,0,Karoline Leavitt,2025-03-13
“Eliminate school choice” is on Susan Crawford’s agenda.,refutes,0,Brad Schimel,2025-03-13
"“Under the previous administration … the cost of a median-price home in America more than doubled, and that was just in four years.”",supports,1,JD Vance,2025-03-12
“The number of full-time jobs (was) dropping almost the entire Biden administration.”,refutes,0,Rick Scott,2025-03-11
"During President Joe Biden’s four years in office, “31% of U.S. job growth” came from public-sector jobs.",refutes,0,X posts,2025-03-11
El 3 de marzo del 2025 falleció el presidente Donald Trump en un accidente de helicóptero.,refutes,0,Facebook posts,2025-03-11
“71 out of 72 Wisconsin counties filed lawsuits against Purdue Pharma. Brad Schimel refused to join them.”,supports,1,A Better Wisconsin Together,2025-03-11
Photo shows first lady Melania Trump crying.,refutes,0,Facebook posts,2025-03-10
Video shows President Donald Trump admitting he became president because of a “rigged” 2024 election.,refutes,0,Social Media,2025-03-10
Audio shows a BBC reporter making a vulgar comment about an Oval Office meeting between President Donald Trump and Ukraine President Volodymyr Zelenskyy.,refutes,0,Social Media,2025-03-10
